Match id,Team_1,Team_2,Format,Ground,Year,Toss,Selection,fi_score,fi_wickets,fi_4s,fi_6s,fi_extra,fi_run_rate,fi_avg_str_rate,fi_max_score,fi_max_indv_wickets,Player Of The Match,Result,si_score,si_wickets,si_4s,si_6s,si_extras,si_run_rate,si_avg_str_rate,si_max_indv_wickets,si_max_indv_wickets
1,Pakistan,Sri Lanka,ODI,Sharjah,1984,Sri Lanka,Bowling,187.0,9.0,9.0,3.0,21.0,4.06,52.04,47.0,2.0,Roy Dias,Sri Lanka,190.0,5.0,11.0,1.0,26.0,4.36,68.51,57.0,3.0
2,India,Sri Lanka,ODI,Sharjah,1984,India,Bowling,97.0,0.0,9.0,0.0,14.0,4.47,60.48,51.0,3.0,Surinder Khanna,India,96.0,10.0,7.0,0.0,8.0,2.34,25.74,38.0,0.0
3,India,Pakistan,ODI,Sharjah,1984,India,Batting,188.0,4.0,13.0,3.0,17.0,4.08,60.21,56.0,3.0,Surinder Khanna,India,134.0,10.0,5.0,0.0,5.0,3.37,39.46,35.0,1.0
4,Sri Lanka,Pakistan,ODI,Colombo(PSS),1986,Sri Lanka,Bowling,116.0,10.0,10.0,0.0,14.0,3.42,37.87,34.0,3.0,Mohsin Khan,Pakistan,197.0,10.0,14.0,3.0,15.0,4.37,65.14,39.0,3.0
5,Bangladesh,Pakistan,ODI,Moratuwa,1986,Pakistan,Bowling,94.0,10.0,0.0,0.0,9.0,2.64,24.63,37.0,2.0,Wasim Akram,Pakistan,98.0,3.0,4.0,0.0,5.0,3.04,36.79,47.0,4.0
6,Sri Lanka,Bangladesh,ODI,Kandy,1986,Bangladesh,Bowling,132.0,3.0,0.0,0.0,19.0,4.19,46.07,44.0,2.0,Asanka Gurusinha,Bangladesh,131.0,8.0,0.0,0.0,10.0,2.91,47.03,40.0,1.0
7,Sri Lanka,Pakistan,ODI,Colombo(SSC),1986,Sri Lanka,Bowling,195.0,5.0,15.0,1.0,9.0,4.6,62.09,57.0,4.0,Javed Miandad,Sri Lanka,191.0,9.0,11.0,4.0,14.0,4.24,70.13,67.0,3.0
8,Pakistan,Sri Lanka,ODI,Dhaka,1988,Sri Lanka,Bowling,194.0,7.0,5.0,0.0,7.0,4.4,74.43,54.0,2.0,Roshan Mahanama,Sri Lanka,195.0,5.0,10.0,0.0,18.0,5.02,73.08,55.0,3.0
9,Bangladesh,India,ODI,Chattogram,1988,India,Bowling,99.0,8.0,5.0,0.0,13.0,2.2,36.13,22.0,1.0,Navjot Sidhu,India,100.0,1.0,7.0,1.0,7.0,3.84,56.7,50.0,3.0
10,India,Sri Lanka,ODI,Dhaka,1988,India,Bowling,254.0,10.0,14.0,4.0,5.0,5.77,97.52,50.0,2.0,Aravinda de Silva,Sri Lanka,271.0,6.0,12.0,2.0,13.0,6.02,106.61,69.0,4.0
11,Bangladesh,Pakistan,ODI,Chattogram,1988,Pakistan,Batting,111.0,6.0,0.0,0.0,15.0,2.46,31.02,22.0,1.0,Moin ul Atiq,Pakistan,284.0,3.0,9.0,4.0,23.0,6.31,76.52,124.0,3.0
12,India,Pakistan,ODI,Dhaka,1988,India,Bowling,143.0,6.0,8.0,0.0,19.0,3.51,38.29,74.0,5.0,Arshad Ayub,India,142.0,10.0,7.0,0.0,17.0,3.35,47.42,38.0,3.0
13,Bangladesh,Sri Lanka,ODI,Dhaka,1988,Sri Lanka,Bowling,118.0,8.0,0.0,0.0,12.0,2.62,30.28,30.0,1.0,Brendon Kuruppu,Sri Lanka,120.0,1.0,0.0,0.0,7.0,3.89,59.78,58.0,4.0
14,India,Sri Lanka,ODI,Dhaka,1988,India,Bowling,180.0,4.0,10.0,3.0,12.0,4.84,62.06,76.0,3.0,Navjot Sidhu,India,176.0,10.0,8.0,1.0,18.0,4.06,54.48,36.0,2.0
15,India,Bangladesh,ODI,Chandigarh,1990,Bangladesh,Batting,171.0,1.0,12.0,3.0,12.0,4.64,63.78,104.0,2.0,Navjot Sidhu,India,170.0,6.0,11.0,0.0,29.0,3.4,46.26,57.0,1.0
16,India,Sri Lanka,ODI,Cuttack,1990,Sri Lanka,Batting,178.0,10.0,9.0,0.0,13.0,3.88,51.31,40.0,3.0,Arjuna Ranatunga,Sri Lanka,214.0,10.0,2.0,1.0,32.0,4.33,46.93,53.0,3.0
17,Bangladesh,Sri Lanka,ODI,Kolkata,1990,Sri Lanka,Batting,178.0,9.0,0.0,0.0,20.0,3.95,43.2,78.0,1.0,Athar Ali Khan,Sri Lanka,249.0,4.0,0.0,0.0,15.0,5.53,81.82,89.0,2.0
18,India,Sri Lanka,ODI,Kolkata,1991,India,Bowling,205.0,3.0,7.0,1.0,2.0,4.86,73.75,75.0,4.0,Mohammad Azharuddin,India,204.0,9.0,3.0,0.0,21.0,4.53,55.73,49.0,1.0
19,Bangladesh,India,ODI,Sharjah,1995,Bangladesh,Batting,163.0,10.0,12.0,1.0,11.0,3.64,66.87,30.0,1.0,Manoj Prabhakar,India,164.0,1.0,21.0,1.0,7.0,5.89,110.24,56.0,2.0
20,Bangladesh,Sri Lanka,ODI,Sharjah,1995,Bangladesh,Bowling,126.0,10.0,8.0,0.0,12.0,2.84,36.15,26.0,4.0,Arjuna Ranatunga,Sri Lanka,233.0,10.0,15.0,1.0,10.0,4.69,70.57,71.0,4.0
21,India,Pakistan,ODI,Sharjah,1995,Pakistan,Batting,169.0,10.0,11.0,2.0,26.0,3.96,28.93,54.0,2.0,Aaqib Javed,Pakistan,266.0,9.0,21.0,5.0,16.0,5.32,92.95,88.0,5.0
22,Bangladesh,Pakistan,ODI,Sharjah,1995,Bangladesh,Batting,151.0,8.0,7.0,0.0,14.0,3.02,29.93,44.0,1.0,Wasim Akram,Pakistan,152.0,4.0,15.0,2.0,7.0,5.12,79.03,38.0,2.0
23,India,Sri Lanka,ODI,Sharjah,1995,Sri Lanka,Batting,206.0,2.0,24.0,1.0,17.0,6.21,85.03,112.0,3.0,Sachin Tendulkar,India,202.0,9.0,15.0,2.0,29.0,4.04,49.64,48.0,2.0
24,Pakistan,Sri Lanka,ODI,Sharjah,1995,Sri Lanka,Bowling,178.0,9.0,5.0,3.0,22.0,3.56,40.74,73.0,2.0,Sanath Jayasuriya,Sri Lanka,180.0,5.0,16.0,2.0,17.0,5.83,101.55,48.0,3.0
25,India,Sri Lanka,ODI,Sharjah,1995,India,Bowling,233.0,2.0,15.0,2.0,9.0,5.56,83.33,90.0,2.0,Mohammad Azharuddin,India,230.0,7.0,12.0,3.0,37.0,4.6,72.28,85.0,1.0
26,Sri Lanka,Pakistan,ODI,Colombo(RPS),1997,Pakistan,Bowling,239.0,10.0,9.0,1.0,12.0,4.79,63.56,80.0,4.0,Marvan Atapattu,Sri Lanka,224.0,9.0,11.0,3.0,15.0,4.48,68.02,57.0,2.0
27,Bangladesh,Pakistan,ODI,Colombo(RPS),1997,Pakistan,Batting,210.0,10.0,15.0,1.0,18.0,4.24,54.03,82.0,1.0,Saeed Anwar,Pakistan,319.0,5.0,28.0,3.0,13.0,6.38,129.1,90.0,5.0
28,Sri Lanka,India,ODI,Colombo(RPS),1997,Sri Lanka,Bowling,231.0,4.0,23.0,0.0,21.0,5.17,66.43,131.0,2.0,Arjuna Ranatunga,Sri Lanka,227.0,6.0,19.0,2.0,4.0,4.54,86.79,81.0,2.0
29,India,Pakistan,ODI,Colombo(SSC),1997,India,Bowling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,Match Cancelled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Sri Lanka,Bangladesh,ODI,Colombo(SSC),1997,Bangladesh,Bowling,296.0,4.0,31.0,4.0,13.0,6.43,104.29,108.0,2.0,Sanath Jayasuriya,Sri Lanka,193.0,8.0,15.0,1.0,23.0,4.19,56.86,47.0,2.0
31,Bangladesh,India,ODI,Colombo(SSC),1997,India,Bowling,130.0,8.0,10.0,0.0,19.0,3.02,31.66,33.0,1.0,Sourav Ganguly,India,132.0,1.0,16.0,2.0,8.0,8.8,129.57,73.0,3.0
